customer_id,gender,age_group,loyalty_tier,join_date,city,preferred_channel
C0085,F,35-44,Silver,2023-09-27,Nice,Flagship
C0086,M,45-54,Silver,2020-09-17,Strasbourg,Flagship
C0087,M,55-64,Silver,2024-03-12,Strasbourg,Flagship
C0088,F,35-44,Bronze,2024-09-03,Strasbourg,Flagship
C0089,F,45-54,Silver,2023-05-27,Bordeaux,Flagship
C0090,M,65+,Bronze,2022-08-27,Toulouse,Flagship
C0091,M,35-44,Bronze,2023-07-20,Bordeaux,Flagship
C0092,M,25-34,Bronze,2021-09-27,Paris,Boutique
C0093,M,18-24,Silver,2022-08-31,Cannes,Boutique
C0094,F,45-54,Bronze,2024-01-11,Marseille,Flagship
C0095,F,18-24,Gold,2023-11-09,Bordeaux,Boutique
C0096,M,45-54,Bronze,2024-07-04,Bordeaux,Boutique
C0097,M,45-54,Silver,2022-07-23,Toulouse,Flagship
C0098,F,55-64,Gold,2021-10-11,Toulouse,Online
C0099,M,45-54,Gold,2024-08-28,Nantes,Online
C0100,M,65+,Bronze,2021-06-14,Toulouse,Online
C0101,M,35-44,Silver,2023-07-07,Nice,Boutique
C0102,F,35-44,Gold,2021-07-10,Lyon,Boutique
C0103,M,45-54,Silver,2020-11-04,Bordeaux,Boutique
C0104,F,35-44,Silver,2022-04-29,Strasbourg,Boutique
C0105,F,45-54,Platinum,2021-02-27,Cannes,Flagship
C0106,M,45-54,Silver,2020-02-10,Lille,Online
C0107,F,45-54,Silver,2024-03-23,Toulouse,Flagship
C0108,M,45-54,Bronze,2025-01-12,Strasbourg,Online
C0109,F,35-44,Silver,2020-02-29,Strasbourg,Flagship
C0110,F,25-34,Platinum,2020-12-04,Toulouse,Boutique
C0111,F,55-64,Silver,2025-01-31,Paris,Boutique
C0112,F,25-34,Gold,2023-08-09,Marseille,Boutique
C0113,F,35-44,Bronze,2021-06-16,Lille,Online
C0114,F,35-44,Gold,2024-04-07,Strasbourg,Online
C0115,F,45-54,Bronze,2024-09-05,Toulouse,Boutique
C0116,F,25-34,Silver,2025-05-03,Paris,Boutique
C0117,M,25-34,Gold,2025-04-28,Cannes,Boutique
C0118,M,45-54,Silver,2021-05-03,Cannes,Boutique
C0119,F,35-44,Bronze,2022-08-10,Cannes,Flagship
C0120,F,25-34,Platinum,2024-01-11,Lyon,Flagship
C0121,F,55-64,Silver,2020-02-22,Strasbourg,Online
C0122,M,18-24,Silver,2025-04-12,Bordeaux,Boutique
C0123,F,65+,Silver,2023-11-28,Lyon,Flagship
C0124,F,35-44,Silver,2024-05-21,Lille,Boutique
C0125,F,18-24,Gold,2022-11-02,Nantes,Boutique
C0126,F,65+,Gold,2022-06-06,Nantes,Flagship
C0127,F,25-34,Gold,2020-11-09,Nice,Flagship
C0128,M,45-54,Silver,2024-07-13,Cannes,Online
C0129,M,18-24,Bronze,2021-10-22,Nantes,Boutique
C0130,F,55-64,Silver,2024-03-16,Strasbourg,Online
C0131,F,35-44,Bronze,2020-02-28,Bordeaux,Online
C0132,F,35-44,Bronze,2024-06-21,Cannes,Flagship
C0133,F,55-64,Bronze,2024-12-07,Bordeaux,Boutique
C0134,F,45-54,Silver,2021-05-09,Bordeaux,Flagship
C0135,F,45-54,Gold,2022-09-02,Lyon,Online
C0136,F,65+,Bronze,2021-03-29,Cannes,Online
C0137,M,55-64,Bronze,2022-08-27,Toulouse,Online
C0138,F,35-44,Bronze,2021-12-21,Bordeaux,Boutique
C0139,M,35-44,Bronze,2024-01-17,Toulouse,Flagship
C0140,M,25-34,Gold,2021-01-14,Nice,Flagship
C0141,M,55-64,Bronze,2023-04-22,Lyon,Boutique
C0142,M,35-44,Bronze,2021-08-29,Paris,Flagship
C0143,M,35-44,Bronze,2022-12-29,Paris,Flagship
C0144,M,65+,Gold,2021-08-21,Nantes,Boutique
C0145,F,55-64,Bronze,2024-11-22,Nantes,Online
C0146,M,18-24,Bronze,2021-11-28,Nantes,Boutique
C0147,F,45-54,Silver,2024-08-10,Cannes,Flagship
C0148,F,25-34,Bronze,2023-11-06,Cannes,Online
C0149,M,18-24,Silver,2020-06-23,Strasbourg,Flagship
C0150,M,25-34,Gold,2023-05-05,Strasbourg,Online
C0151,F,35-44,Gold,2025-02-03,Strasbourg,Online
C0152,M,18-24,Silver,2023-03-10,Lyon,Boutique
C0153,M,35-44,Silver,2023-07-05,Marseille,Boutique
C0154,M,18-24,Bronze,2020-12-21,Strasbourg,Online
C0155,M,45-54,Bronze,2023-11-12,Bordeaux,Online
C0156,F,65+,Gold,2023-12-18,Lyon,Flagship
C0157,F,65+,Silver,2021-04-23,Bordeaux,Online
C0158,M,25-34,Silver,2020-08-23,Nice,Boutique
C0159,F,25-34,Gold,2020-05-26,Cannes,Flagship
C0160,M,35-44,Silver,2024-08-15,Nantes,Flagship
C0161,F,35-44,Silver,2021-09-14,Nantes,Online
C0162,M,18-24,Gold,2020-06-13,Lille,Flagship
C0163,F,18-24,Bronze,2021-05-27,Cannes,Flagship
C0164,F,65+,Gold,2025-05-01,Cannes,Boutique
C0165,M,45-54,Silver,2024-04-11,Nantes,Online
C0166,M,45-54,Silver,2021-01-06,Nantes,Boutique
C0167,F,45-54,Bronze,2022-08-20,Lyon,Boutique
C0168,F,65+,Silver,2021-11-06,Strasbourg,Flagship
C0169,F,18-24,Bronze,2020-03-16,Lille,Boutique
C0170,F,55-64,Gold,2025-06-09,Paris,Flagship
C0171,M,45-54,Silver,2024-11-15,Bordeaux,Flagship
C0172,M,45-54,Silver,2022-01-10,Paris,Boutique
C0173,M,25-34,Platinum,2021-06-30,Nantes,Flagship
C0174,F,18-24,Platinum,2022-09-19,Cannes,Boutique
C0175,M,35-44,Silver,2023-12-24,Toulouse,Online
C0176,M,18-24,Silver,2020-07-09,Lyon,Flagship
C0177,M,45-54,Platinum,2024-08-31,Nice,Flagship
C0178,F,45-54,Gold,2023-12-15,Nantes,Boutique
C0179,M,25-34,Bronze,2022-07-24,Cannes,Flagship
C0180,M,18-24,Bronze,2024-03-08,Strasbourg,Online
C0181,M,35-44,Gold,2025-03-28,Nice,Flagship
C0182,M,55-64,Platinum,2021-09-03,Nantes,Boutique
C0183,M,45-54,Bronze,2022-07-03,Toulouse,Flagship
C0184,F,35-44,Gold,2022-02-11,Bordeaux,Flagship
C0185,M,45-54,Bronze,2022-02-23,Nantes,Flagship
C0186,F,45-54,Platinum,2025-02-13,Marseille,Online
C0187,F,25-34,Silver,2025-05-29,Cannes,Online
C0188,F,45-54,Bronze,2024-11-16,Nantes,Boutique
C0189,M,45-54,Gold,2024-01-19,Marseille,Boutique
C0190,F,35-44,Silver,2022-08-19,Strasbourg,Flagship
C0191,F,65+,Gold,2020-06-13,Strasbourg,Online
C0192,F,55-64,Bronze,2023-07-07,Lyon,Boutique
C0193,F,25-34,Gold,2023-07-16,Strasbourg,Boutique
C0194,F,45-54,Bronze,2024-04-06,Nice,Boutique
C0195,F,18-24,Bronze,2020-04-04,Lille,Online
C0196,M,55-64,Silver,2020-10-25,Marseille,Boutique
C0197,F,55-64,Gold,2020-12-24,Cannes,Flagship
C0198,F,55-64,Bronze,2021-05-08,Nantes,Flagship
C0199,F,35-44,Silver,2021-06-04,Nantes,Online
C0200,M,25-34,Bronze,2023-10-19,Lille,Flagship
C0201,F,65+,Bronze,2021-09-04,Nice,Boutique
C0202,F,18-24,Bronze,2022-02-26,Cannes,Online
C0203,F,65+,Bronze,2023-03-23,Strasbourg,Online
C0204,M,65+,Gold,2020-01-17,Paris,Flagship
C0205,F,35-44,Gold,2024-03-06,Bordeaux,Flagship
C0206,F,25-34,Silver,2024-06-30,Cannes,Online
C0207,M,65+,Bronze,2023-10-20,Paris,Online
C0208,F,18-24,Silver,2024-06-03,Marseille,Boutique
C0209,F,35-44,Gold,2025-02-05,Marseille,Boutique
C0210,M,35-44,Silver,2020-09-27,Nice,Boutique
C0211,F,35-44,Gold,2021-06-10,Lille,Boutique
C0212,F,25-34,Gold,2022-08-17,Bordeaux,Flagship
C0213,F,55-64,Bronze,2024-01-23,Strasbourg,Boutique
C0214,M,18-24,Silver,2021-06-25,Nice,Flagship
C0215,F,18-24,Silver,2022-02-19,Nantes,Boutique
C0216,M,35-44,Platinum,2023-06-22,Bordeaux,Flagship
C0217,F,65+,Bronze,2020-05-09,Strasbourg,Boutique
C0218,F,18-24,Bronze,2020-10-13,Nantes,Boutique
C0219,M,55-64,Bronze,2020-07-18,Nantes,Online
C0220,M,45-54,Silver,2023-10-05,Marseille,Online
C0221,F,45-54,Silver,2023-09-03,Nice,Boutique
C0222,F,25-34,Silver,2023-11-14,Bordeaux,Online
C0223,F,55-64,Platinum,2020-07-22,Lille,Boutique
C0224,F,25-34,Platinum,2022-03-26,Nantes,Boutique
C0225,M,65+,Silver,2023-09-19,Paris,Boutique
C0226,F,25-34,Platinum,2024-05-30,Cannes,Boutique
C0227,M,25-34,Silver,2020-05-20,Bordeaux,Online
C0228,M,55-64,Bronze,2024-05-04,Marseille,Boutique
C0229,F,25-34,Bronze,2023-01-11,Paris,Boutique
C0230,F,25-34,Silver,2020-01-31,Paris,Boutique
C0231,F,25-34,Gold,2021-06-27,Toulouse,Boutique
C0232,F,45-54,Silver,2024-03-07,Lille,Flagship
C0233,F,45-54,Silver,2023-04-30,Cannes,Boutique
C0234,M,35-44,Silver,2024-01-29,Paris,Boutique
C0235,F,45-54,Silver,2022-09-07,Nantes,Flagship
C0236,F,18-24,Gold,2025-02-06,Lille,Flagship
C0237,F,25-34,Bronze,2020-10-30,Cannes,Flagship
C0238,F,45-54,Platinum,2023-12-29,Toulouse,Online
C0239,M,55-64,Silver,2022-07-18,Lyon,Flagship
C0240,M,65+,Gold,2023-08-26,Strasbourg,Online
C0241,M,45-54,Bronze,2024-12-23,Nantes,Online
C0242,F,35-44,Silver,2022-05-01,Nice,Online
C0243,M,65+,Platinum,2025-05-06,Lyon,Boutique
C0244,F,18-24,Silver,2024-08-30,Lille,Boutique
C0245,F,55-64,Platinum,2023-02-13,Toulouse,Online
C0246,F,45-54,Bronze,2023-10-04,Strasbourg,Flagship
C0247,F,55-64,Bronze,2020-04-15,Lyon,Flagship
C0248,M,25-34,Silver,2022-11-05,Bordeaux,Boutique
C0249,M,35-44,Bronze,2021-12-18,Nice,Flagship
C0250,F,55-64,Platinum,2021-04-08,Cannes,Flagship
C0251,M,18-24,Silver,2023-10-14,Nice,Boutique
C0252,F,65+,Gold,2021-01-04,Lille,Online
C0253,M,25-34,Silver,2020-01-13,Strasbourg,Boutique
C0254,F,18-24,Gold,2020-10-17,Bordeaux,Online
C0255,F,35-44,Bronze,2022-05-09,Nice,Flagship
C0256,M,55-64,Bronze,2021-10-26,Paris,Boutique
C0257,M,18-24,Silver,2020-11-18,Nice,Online
C0258,F,45-54,Silver,2023-09-17,Strasbourg,Online
C0259,M,18-24,Bronze,2021-03-17,Lyon,Online
C0260,M,45-54,Silver,2023-10-20,Nice,Boutique
C0261,F,55-64,Bronze,2021-03-27,Bordeaux,Online
C0262,M,25-34,Gold,2025-04-20,Nice,Online
C0263,F,45-54,Gold,2020-09-02,Marseille,Boutique
C0264,M,65+,Bronze,2022-02-17,Toulouse,Flagship
C0265,F,18-24,Bronze,2024-07-09,Paris,Online
C0266,F,18-24,Gold,2020-02-08,Cannes,Online
C0267,F,65+,Silver,2023-03-20,Nice,Boutique
C0268,F,35-44,Bronze,2022-04-09,Cannes,Online
C0269,F,18-24,Silver,2024-08-30,Lyon,Boutique
C0270,M,45-54,Silver,2022-06-11,Strasbourg,Online
C0271,F,25-34,Bronze,2024-03-07,Marseille,Boutique
C0272,F,55-64,Silver,2022-11-11,Lille,Online
C0273,M,25-34,Bronze,2024-01-29,Nice,Boutique
C0274,M,25-34,Gold,2020-12-21,Lyon,Boutique
C0275,F,45-54,Gold,2025-05-02,Cannes,Online
C0276,M,65+,Silver,2023-10-26,Cannes,Online
C0277,F,25-34,Silver,2024-11-04,Nantes,Online
C0278,F,35-44,Silver,2023-07-17,Lille,Flagship
C0279,F,45-54,Silver,2020-05-31,Paris,Online
C0280,F,18-24,Silver,2024-08-30,Lyon,Flagship
C0281,M,45-54,Silver,2023-05-01,Toulouse,Flagship
C0282,F,45-54,Platinum,2025-01-08,Cannes,Flagship
C0283,F,55-64,Silver,2021-01-20,Marseille,Boutique
C0284,F,35-44,Platinum,2022-07-11,Lyon,Flagship
C0285,M,18-24,Bronze,2023-08-16,Nantes,Online
C0286,M,55-64,Bronze,2022-12-09,Lille,Online
C0287,F,35-44,Silver,2022-03-04,Paris,Flagship
C0288,F,18-24,Bronze,2023-08-18,Toulouse,Flagship
C0289,F,35-44,Gold,2022-03-02,Cannes,Boutique
C0290,F,55-64,Silver,2021-11-13,Lille,Online
C0291,F,25-34,Silver,2025-06-04,Lyon,Online
C0292,F,65+,Gold,2023-02-18,Marseille,Flagship
C0293,M,18-24,Silver,2023-12-10,Strasbourg,Flagship
C0294,F,35-44,Bronze,2022-01-11,Bordeaux,Online
C0295,F,25-34,Bronze,2025-04-24,Marseille,Boutique
C0296,F,18-24,Silver,2020-06-07,Toulouse,Flagship
C0297,M,18-24,Silver,2024-12-14,Cannes,Boutique
C0298,F,25-34,Bronze,2023-05-08,Cannes,Boutique
C0299,F,18-24,Silver,2024-01-16,Bordeaux,Online
C0300,F,65+,Gold,2023-06-04,Bordeaux,Flagship
C0301,F,45-54,Platinum,2021-05-04,Bordeaux,Online
C0302,M,45-54,Silver,2023-10-21,Nice,Online
C0303,M,45-54,Platinum,2022-10-26,Bordeaux,Flagship
C0304,F,18-24,Silver,2020-10-10,Lille,Flagship
C0305,F,65+,Gold,2025-03-28,Lyon,Online
C0306,M,35-44,Silver,2020-06-20,Toulouse,Boutique
C0307,F,18-24,Platinum,2024-08-28,Bordeaux,Online
C0308,F,18-24,Silver,2024-12-16,Strasbourg,Flagship
C0309,M,45-54,Platinum,2022-02-04,Lille,Boutique
C0310,F,18-24,Gold,2020-02-27,Lille,Boutique
C0311,F,35-44,Platinum,2020-10-08,Nantes,Flagship
C0312,M,65+,Silver,2024-08-29,Cannes,Boutique
C0313,F,18-24,Bronze,2025-01-29,Marseille,Flagship
C0314,M,55-64,Silver,2025-04-09,Nice,Boutique
C0315,F,18-24,Bronze,2021-09-08,Cannes,Online
C0316,F,45-54,Silver,2020-05-08,Paris,Flagship
C0317,M,25-34,Gold,2022-11-21,Nice,Online
C0318,M,35-44,Bronze,2020-01-04,Strasbourg,Boutique
C0319,F,55-64,Platinum,2023-09-22,Lyon,Flagship
C0320,M,55-64,Silver,2023-01-19,Strasbourg,Online
C0321,F,35-44,Bronze,2020-03-30,Paris,Online
C0322,F,35-44,Bronze,2024-06-02,Lyon,Flagship
C0323,F,25-34,Bronze,2024-02-14,Toulouse,Online
C0324,M,65+,Silver,2024-07-24,Nantes,Flagship
C0325,M,18-24,Gold,2021-01-08,Nantes,Boutique
C0326,M,18-24,Gold,2021-08-23,Paris,Online
C0327,F,55-64,Bronze,2025-03-26,Toulouse,Online
C0328,F,65+,Bronze,2021-06-02,Lille,Boutique
C0329,F,35-44,Bronze,2024-11-08,Lille,Online
C0330,F,65+,Silver,2024-12-26,Strasbourg,Online
C0331,M,45-54,Silver,2025-06-17,Lille,Flagship
C0332,F,65+,Silver,2021-06-30,Strasbourg,Flagship
C0333,M,55-64,Bronze,2024-08-11,Lyon,Boutique
C0334,F,35-44,Silver,2021-11-02,Strasbourg,Boutique
C0335,F,35-44,Silver,2023-11-13,Lille,Flagship
C0336,F,65+,Platinum,2022-06-09,Paris,Boutique
C0337,F,35-44,Silver,2023-10-06,Marseille,Boutique
C0338,M,65+,Gold,2020-10-19,Paris,Boutique
C0339,M,65+,Bronze,2020-05-17,Strasbourg,Flagship
C0340,M,25-34,Silver,2020-03-07,Lille,Online
C0341,F,55-64,Bronze,2022-06-28,Lille,Online
C0342,F,25-34,Platinum,2021-10-05,Paris,Flagship
C0343,F,55-64,Bronze,2021-01-16,Toulouse,Boutique
C0344,F,65+,Silver,2021-06-20,Cannes,Online
C0345,F,25-34,Bronze,2023-11-22,Lyon,Online
C0346,F,18-24,Gold,2020-12-19,Lille,Flagship
C0347,F,55-64,Silver,2021-12-12,Nice,Boutique
C0348,M,35-44,Silver,2023-12-28,Lyon,Boutique
C0349,M,25-34,Gold,2024-06-10,Paris,Online
C0350,M,35-44,Silver,2023-02-08,Toulouse,Boutique
C0351,F,25-34,Bronze,2020-11-15,Cannes,Boutique
C0352,F,25-34,Bronze,2022-10-27,Strasbourg,Online
