transaction_id,customer_id,order_date,category,product_line,quantity,unit_price_eur,discount_pct,revenue_eur,channel,reason_code
TXN10556,C0034,2026-02-13,Watch,Signature,1,706.6,0.15,600.61,Boutique,
TXN10041,C0121,2025-11-14,Necklace,High Jewelry,2,174.29,0.2,278.86,Boutique,
TXN10426,C0312,2024-08-31,Earrings,Classic,2,102.62,0.1,184.72,Boutique,
TXN10254,C0054,2025-11-04,Earrings,Classic,2,2483.67,0.1,4470.61,Boutique,
TXN10281,C0202,2025-07-14,Watch,Limited,3,1657.57,0.2,3978.17,Flagship,
TXN10252,C0235,2025-05-31,Watch,Limited,2,124.5,0.2,199.2,Boutique,
TXN10176,C0115,2026-04-14,Watch,Signature,3,203.61,0.05,580.29,Boutique,
TXN10502,C0055,2025-05-13,Bracelet,Classic,3,58.36,0.0,175.08,Boutique,
TXN10268,C0267,2026-03-16,Necklace,Classic,2,501.0,0.1,901.8,Boutique,
TXN10210,C0328,2026-06-01,Bracelet,Limited,3,144.84,0.05,412.79,Boutique,
TXN10859,C0034,2025-10-17,Bracelet,Signature,1,911.13,0.05,865.57,Boutique,
TXN10243,C0006,2025-06-01,Ring,Bridal,1,482.62,0.0,482.62,Boutique,
TXN10198,C0170,2024-02-20,Ring,Classic,1,1163.71,0.3,814.6,Boutique,
TXN10157,C0062,2024-06-10,Necklace,Classic,3,1134.85,0.2,2723.64,Online,
TXN10895,C0130,2024-12-21,Watch,Signature,3,1903.1,0.0,5709.3,Flagship,
TXN10121,C0207,2026-02-06,Watch,Limited,3,3413.56,0.1,9216.61,Online,
TXN10608,C0249,2024-02-26,Necklace,Classic,2,2086.87,0.05,3965.05,Online,
TXN10138,C0275,2025-09-22,Watch,Limited,3,223.51,0.2,536.42,Online,
TXN10124,C0226,2024-01-01,Earrings,Signature,3,2495.02,0.0,7485.06,Online,
TXN10373,C0337,2025-06-22,Earrings,Classic,1,872.19,0.05,828.58,Boutique,
TXN10788,C0337,2025-10-27,Bracelet,Limited,1,629.28,0.1,566.35,Boutique,
TXN10029,C0149,2024-10-21,Necklace,High Jewelry,2,892.31,0.05,1695.39,Flagship,
TXN10776,C0123,2024-10-07,Ring,Signature,3,2348.89,0.0,7046.67,Online,
TXN10392,C0287,2025-05-14,Ring,Signature,2,310.81,0.15,528.38,Flagship,
TXN10835,C0152,2025-05-26,Ring,Classic,1,733.9,0.0,733.9,Online,
TXN10664,C0250,2026-01-01,Ring,Bridal,1,680.44,0.2,544.35,Boutique,
TXN10090,C0171,2025-01-24,Watch,Signature,1,1159.63,0.1,1043.67,Online,
TXN10435,C0149,2024-01-02,Ring,Bridal,1,128.2,0.2,102.56,Online,
TXN10018,C0257,2024-02-16,Necklace,Classic,1,1625.15,0.15,1381.38,Online,
TXN10453,C0346,2024-04-18,Necklace,High Jewelry,2,387.47,0.0,774.94,Online,
TXN10675,C0213,2024-09-08,Necklace,Signature,1,1636.66,0.15,1391.16,Boutique,
TXN10021,C0158,2025-09-03,Necklace,Classic,2,114.87,0.15,195.28,Boutique,
TXN10378,C0286,2025-03-01,Watch,Limited,2,3594.41,0.05,6829.38,Online,
TXN10328,C0104,2026-05-06,Ring,Bridal,1,642.37,0.0,642.37,Flagship,
TXN10708,C0104,2026-02-09,Ring,Classic,2,626.25,0.3,876.75,Boutique,
TXN10914,C0058,2024-06-22,Earrings,Signature,1,1635.0,0.15,1389.75,Boutique,
TXN10704,C0175,2024-07-03,Earrings,Classic,1,157.01,0.1,141.31,Boutique,
TXN10025,C0089,2026-07-23,Earrings,Signature,3,565.54,0.3,1187.63,Online,
TXN10773,C0292,2025-04-16,Earrings,Signature,1,457.94,0.05,435.04,Online,
TXN10354,C0146,2026-04-08,Watch,Signature,1,287.94,0.0,287.94,Boutique,
TXN10628,C0148,2025-01-26,Earrings,Classic,2,138.56,0.0,277.12,Boutique,
TXN10848,C0208,2025-02-07,Necklace,High Jewelry,2,619.06,0.1,1114.31,Boutique,
TXN10792,C0258,2025-12-22,Watch,Signature,1,4134.36,0.0,4134.36,Online,
TXN10566,C0053,2024-06-07,Ring,Classic,2,511.78,0.15,870.03,Online,
TXN10287,C0162,2024-06-21,Earrings,Classic,2,65.38,0.05,124.22,Online,
TXN10330,C0141,2024-07-06,Earrings,Signature,2,289.15,0.0,578.3,Boutique,
TXN10507,C0055,2025-05-24,Necklace,Signature,1,785.48,0.3,549.84,Boutique,
TXN10215,C0287,2026-08-27,Ring,High Jewelry,1,820.95,0.0,820.95,Boutique,
TXN10353,C0331,2026-04-28,Earrings,Signature,2,360.88,0.2,577.41,Boutique,
TXN10377,C0119,2025-01-29,Watch,Signature,1,143.05,0.15,121.59,Online,
TXN10902,C0274,2024-01-02,Necklace,High Jewelry,1,1057.5,0.05,1004.62,Boutique,
TXN10529,C0286,2025-12-10,Necklace,High Jewelry,3,184.15,0.0,552.45,Boutique,
TXN10255,C0141,2024-12-17,Earrings,Signature,1,2496.58,0.0,2496.58,Boutique,
TXN10075,C0335,2024-04-05,Necklace,High Jewelry,2,369.82,0.0,739.64,Online,
TXN10108,C0303,2025-11-19,Necklace,Signature,3,314.33,0.0,942.99,Boutique,
TXN10141,C0086,2024-05-09,Bracelet,Signature,1,811.11,0.05,770.55,Online,
TXN10367,C0194,2026-01-11,Bracelet,Classic,1,469.04,0.15,398.68,Online,
TXN10266,C0170,2025-12-27,Earrings,Signature,3,3664.66,0.15,9344.88,Online,
TXN10598,C0148,2024-02-18,Bracelet,Classic,1,200.98,0.15,170.83,Online,
TXN10892,C0333,2024-08-03,Bracelet,Limited,1,586.6,0.0,586.6,Online,
TXN10059,C0276,2024-09-03,Earrings,Classic,3,1264.91,0.0,3794.73,Online,
TXN10737,C0125,2026-03-27,Ring,Signature,3,683.76,0.3,1435.9,Boutique,
TXN10840,C0281,2024-04-09,Earrings,Classic,3,1072.97,0.05,3057.96,Boutique,
TXN10301,C0059,2025-11-22,Earrings,Classic,1,468.41,0.2,374.73,Online,
TXN10027,C0148,2025-12-07,Ring,High Jewelry,1,868.18,0.15,737.95,Flagship,
TXN10525,C0296,2026-05-25,Watch,Signature,2,207.05,0.1,372.69,Online,
TXN10691,C0190,2025-02-16,Watch,Limited,2,696.55,0.3,975.17,Boutique,
TXN10570,C0221,2024-07-20,Necklace,Signature,1,506.25,0.05,480.94,Boutique,
TXN10478,C0233,2026-07-16,Watch,Limited,2,396.18,0.05,752.74,Flagship,
TXN10686,C0025,2025-04-04,Necklace,High Jewelry,2,115.71,0.05,219.85,Flagship,
TXN10801,C0226,2025-06-01,Earrings,Signature,1,709.36,0.3,496.55,Flagship,
TXN10886,C0010,2024-07-23,Watch,Limited,3,382.9,0.0,1148.7,Boutique,
TXN10909,C0007,2024-04-12,Watch,Signature,1,389.42,0.3,272.59,Online,
TXN10393,C0125,2024-09-29,Necklace,Signature,2,1066.3,0.0,2132.6,,
TXN10923,X9380,2025-01-21,Ring,Classic,1,2095.27,0.0,2095.27,Flagship,
TXN10629,C0015,2024-09-25,Bracelet,Limited,1,198.51,0.05,188.58,Online,
TXN10189,C0044,2026-04-07,Bracelet,Signature,2,7115.62,0.0,14231.24,Online,
TXN10489,C0124,2026-02-27,Watch,Signature,3,206.67,0.0,620.01,Boutique,
TXN10852,C0024,2026-07-15,Watch,Limited,2,2358.4,0.0,4716.8,Online,
TXN10705,C0051,2024-06-21,Watch,Limited,1,300.19,0.0,300.19,Boutique,
TXN10906,C0189,2026-07-12,Ring,Signature,2,455.5,0.0,911.0,Online,
TXN10256,C0281,2025-12-29,Bracelet,Limited,1,1340.86,0.0,1340.86,Boutique,
TXN10757,C0142,2024-04-10,Ring,High Jewelry,2,159.97,0.0,319.94,Boutique,
TXN10311,C0132,2024-01-06,Ring,Classic,2,3210.81,0.15,5458.38,Boutique,
TXN10492,C0045,2024-05-13,Watch,Signature,3,182.87,0.15,466.32,Online,
TXN10740,C0328,2026-03-15,Ring,Bridal,2,180.42,0.2,288.67,Online,
TXN10131,C0322,2026-07-30,Ring,Signature,1,289.58,0.0,289.58,Online,
TXN10093,C0304,2024-07-03,Watch,Signature,3,1055.94,0.1,2851.04,Flagship,
TXN10775,C0222,2025-01-28,Earrings,Classic,2,1273.4,0.0,2546.8,Boutique,
TXN10161,C0039,2024-03-07,Necklace,Signature,1,98.38,0.0,98.38,Flagship,
TXN10248,C0232,2024-04-09,Necklace,Signature,1,924.07,0.05,877.87,Online,
TXN10273,C0050,2026-03-02,Ring,Signature,1,529.64,0.0,529.64,Online,
TXN10569,C0117,2024-05-08,Bracelet,Signature,1,270.75,0.0,270.75,Boutique,
TXN10061,C0231,2024-04-04,Bracelet,Limited,1,730.84,0.05,694.3,Boutique,
TXN10241,C0007,2026-02-24,Watch,Signature,1,2602.82,0.2,2082.26,Online,
TXN10114,C0282,2024-04-25,Watch,Signature,2,594.33,0.3,832.06,Flagship,
TXN10715,C0285,2026-06-18,Bracelet,Limited,1,354.4,0.2,283.52,Flagship,
TXN10272,C0264,2025-04-01,Watch,Signature,3,475.61,0.0,1426.83,Boutique,
TXN10911,C0044,2024-05-22,Ring,High Jewelry,2,452.82,0.3,633.95,Boutique,
TXN10552,C0100,2024-11-21,Earrings,Classic,1,734.07,0.2,587.26,Boutique,
TXN10873,C0149,2025-05-09,Bracelet,Classic,3,300.34,0.2,720.82,Online,
TXN10531,C0071,2024-07-08,Earrings,Classic,2,1174.75,0.2,1879.6,Online,
TXN10472,C0234,2026-08-10,Watch,Limited,2,415.33,0.1,747.59,Online,
TXN10169,C0295,2024-12-29,Earrings,Signature,1,219.97,0.3,153.98,Online,
TXN10754,C0131,2024-03-27,Watch,Limited,2,419.26,0.0,838.52,Boutique,
TXN10097,C0275,2025-10-15,Watch,Limited,1,119.47,0.2,95.58,Online,
TXN10306,C0233,2025-08-27,Watch,Limited,1,133.15,0.0,133.15,Boutique,
TXN10067,C0079,2024-12-03,Ring,High Jewelry,1,150.77,0.1,135.69,Online,
TXN10240,C0195,2025-09-18,Bracelet,Signature,1,142.49,0.0,142.49,Boutique,
TXN10187,C0136,2025-10-19,Necklace,Classic,2,545.75,0.05,1036.92,Boutique,
TXN10194,C0285,2025-07-19,Earrings,Signature,2,313.15,0.3,438.41,Boutique,
TXN10874,C0157,2026-04-25,Watch,Signature,1,442.91,0.0,442.91,Boutique,
TXN10319,C0328,2025-03-25,Earrings,Classic,1,2662.45,0.0,2662.45,Online,
TXN10505,C0077,2024-08-26,Watch,Signature,2,69.84,0.15,118.73,Boutique,
TXN10551,C0101,2024-03-26,Necklace,Signature,3,561.56,0.0,1684.68,,
TXN10317,C0083,2025-10-13,Earrings,Classic,1,432.55,0.05,410.92,Boutique,
TXN10817,C0194,2024-10-10,Necklace,Classic,1,186.38,0.0,186.38,Boutique,
TXN10631,C0197,2026-01-23,Earrings,Classic,2,600.57,0.0,1201.14,Boutique,
TXN10048,C0012,2024-09-17,Earrings,Signature,2,5162.96,0.0,10325.92,Boutique,
TXN10022,C0299,2024-06-23,Earrings,Classic,2,580.57,0.0,1161.14,Online,
TXN10674,C0256,2024-06-06,Necklace,Signature,1,747.82,0.0,747.82,Online,
TXN10565,C0074,2024-05-20,Necklace,Classic,2,520.45,0.1,936.81,Boutique,
TXN10233,C0007,2026-07-17,Necklace,High Jewelry,2,87.68,0.0,175.36,Flagship,
TXN10369,C0036,2024-06-07,Watch,Limited,2,290.34,0.05,551.65,Boutique,
TXN10318,C0197,2025-09-20,Earrings,Classic,2,744.74,0.0,1489.48,Flagship,
TXN10035,C0005,2025-08-04,Bracelet,Limited,1,7413.16,0.05,7042.5,Boutique,
TXN10352,C0281,2024-07-12,Bracelet,Limited,2,337.3,0.0,674.6,Boutique,
TXN10864,C0337,2024-05-26,Ring,High Jewelry,1,207.59,0.2,166.07,Online,
TXN10910,C0068,2026-02-27,Ring,High Jewelry,1,628.71,0.3,440.1,Boutique,
TXN10761,C0283,2026-01-09,Earrings,Signature,1,1211.76,0.05,1151.17,Online,
TXN10710,C0010,2025-07-21,Bracelet,Signature,-1,168.16,0.05,-159.75,Online,R
TXN10707,C0051,2024-05-25,Bracelet,Classic,2,386.28,0.3,540.79,Online,
TXN10856,C0205,2024-03-26,Earrings,Classic,1,108.95,0.2,87.16,Online,
TXN10648,C0341,2026-05-02,Necklace,High Jewelry,2,360.47,0.1,648.85,Boutique,
TXN10207,C0312,2025-12-30,Bracelet,Signature,1,391.27,0.1,352.14,Boutique,
TXN10179,C0035,2024-09-19,Bracelet,Signature,1,3419.51,0.1,3077.56,Boutique,
TXN10561,C0062,2025-06-08,Bracelet,Limited,1,166.55,0.05,158.22,Boutique,
TXN10772,C0142,2024-01-08,Ring,High Jewelry,2,2622.71,0.15,4458.61,Online,
TXN10100,C0248,2024-10-29,Necklace,Signature,2,184.44,0.3,258.22,Boutique,
TXN10227,C0328,2026-02-28,Bracelet,Classic,1,527.89,0.2,422.31,Boutique,
TXN10771,C0222,2024-06-11,Earrings,Signature,2,12289.04,0.0,24578.08,Boutique,
TXN10225,C0223,2024-12-16,Ring,Signature,2,867.12,0.0,1734.24,Boutique,
TXN10807,C0261,2025-10-12,Earrings,Classic,3,1590.5,0.1,4294.35,Flagship,
TXN10142,C0269,2024-09-26,Necklace,Signature,1,1269.57,0.1,1142.61,Boutique,
TXN10020,C0289,2025-05-01,Bracelet,Limited,3,1265.63,0.0,3796.89,Flagship,
TXN10595,C0137,2025-12-13,Necklace,Signature,1,464.76,0.1,418.28,Online,
TXN10355,C0327,2025-09-24,Earrings,Classic,2,365.92,0.0,731.84,Boutique,
TXN10294,C0248,2024-02-11,Bracelet,Classic,1,174.93,0.05,166.18,Boutique,
TXN10222,C0274,2026-01-18,Ring,Signature,1,386.49,0.3,270.54,Online,
TXN10077,C0271,2024-08-23,Necklace,Signature,1,1986.98,0.0,1986.98,Online,
TXN10387,C0179,2025-03-02,Earrings,Signature,2,3722.74,0.0,7445.48,Online,
TXN10878,C0225,2024-05-23,Ring,Classic,1,302.59,0.3,211.81,Online,
TXN10819,C0249,2026-02-14,Earrings,Signature,1,287.43,0.2,229.94,Online,
TXN10120,C0251,2025-08-14,Ring,Classic,2,964.21,0.1,1735.58,Boutique,
TXN10872,C0192,2024-12-12,Necklace,Classic,2,1396.13,0.3,1954.58,Online,
TXN10231,C0255,2025-09-15,Ring,Bridal,2,228.43,0.0,456.86,Boutique,
TXN10803,C0195,2024-11-09,Earrings,Classic,2,428.32,0.1,770.98,Boutique,
TXN10086,C0198,2024-10-25,Necklace,Classic,3,235.92,0.15,601.6,Flagship,
TXN10712,C0285,2024-02-12,Earrings,Signature,1,1181.45,0.0,1181.45,Boutique,
TXN10135,C0185,2024-05-15,Bracelet,Classic,2,130.82,0.05,248.56,Boutique,
TXN10136,C0242,2024-01-18,Necklace,Signature,1,582.41,0.0,582.41,Flagship,
TXN10009,C0311,2024-11-16,Ring,High Jewelry,1,1342.32,0.1,1208.09,Boutique,
TXN10823,C0002,2024-01-18,Bracelet,Classic,3,3621.37,0.05,10320.9,Online,
TXN10257,C0149,2026-08-01,Bracelet,Signature,1,504.74,0.2,403.79,Boutique,
TXN10671,C0250,2024-12-14,Bracelet,Limited,2,5069.8,0.05,9632.62,Online,
TXN10586,C0278,2026-04-08,Bracelet,Classic,1,2201.83,0.1,1981.65,Online,
TXN10001,C0163,2025-04-05,Necklace,High Jewelry,1,431.13,0.3,301.79,Online,
TXN10381,C0166,2024-09-03,Watch,Limited,2,573.4,0.2,917.44,Boutique,
TXN10385,C0040,2026-03-22,Bracelet,Classic,3,462.01,0.2,1108.82,Online,
TXN10259,C0217,2025-06-19,Necklace,Signature,1,148.49,0.2,118.79,Boutique,
TXN10342,C0041,2024-12-17,Ring,Bridal,1,232.58,0.2,186.06,Boutique,
TXN10681,C0106,2025-10-01,Watch,Limited,3,2353.69,0.05,6708.02,Online,
TXN10263,C0196,2025-03-02,Earrings,Signature,1,223.77,0.2,179.02,Boutique,
TXN10147,C0206,2026-06-17,Necklace,Signature,1,449.54,0.05,427.06,Boutique,
TXN10527,C0168,2025-08-16,Earrings,Classic,1,1791.46,0.0,1791.46,Flagship,
TXN10439,C0174,2026-07-27,Earrings,Signature,1,468.77,0.1,421.89,Boutique,
TXN10603,C0290,2025-06-18,Necklace,Signature,1,172.27,0.0,172.27,Online,
TXN10806,C0198,2024-06-15,Watch,Limited,1,177.04,0.3,123.93,Flagship,
TXN10820,C0123,2025-11-12,Bracelet,Classic,1,301.18,0.3,210.83,Boutique,
TXN10714,C0024,2026-01-26,Ring,Signature,1,528.04,0.1,475.24,Online,
TXN10115,C0226,2024-08-11,Watch,Limited,1,6032.77,0.3,4222.94,Flagship,
TXN10031,C0327,2024-02-23,Ring,Signature,2,159.72,0.0,319.44,Online,
TXN10030,C0140,2024-04-21,Ring,Signature,1,835.75,0.0,835.75,Online,
TXN10236,C0024,2026-05-22,Necklace,High Jewelry,1,71.22,0.05,67.66,Online,
TXN10333,C0096,2024-09-26,Watch,Limited,2,192.81,0.05,366.34,Boutique,
TXN10562,C0070,2024-06-16,Bracelet,Signature,3,131.53,0.05,374.86,,
TXN10794,C0020,2026-08-03,Ring,Classic,1,207.33,0.05,196.96,Boutique,
TXN10738,C0076,2024-11-12,Earrings,Classic,1,648.75,0.15,551.44,Online,
TXN10205,C0146,2025-01-30,Necklace,Classic,1,964.98,0.2,771.98,Boutique,
TXN10649,C0308,2024-04-02,Earrings,Signature,2,6379.65,0.0,12759.3,Boutique,
TXN10521,C0193,2024-03-16,Ring,Bridal,2,443.11,0.0,886.22,Boutique,
TXN10468,C0282,2024-01-01,Necklace,Classic,1,4191.77,0.0,4191.77,Online,
TXN10624,C0094,2026-06-16,Earrings,Classic,2,121.47,0.0,242.94,Boutique,
TXN10208,C0155,2026-04-24,Watch,Limited,1,863.82,0.15,734.25,Flagship,
TXN10789,C0256,2025-12-30,Necklace,High Jewelry,1,1094.68,0.15,930.48,Boutique,
TXN10680,C0177,2026-04-26,Necklace,High Jewelry,1,204.37,0.2,163.5,Boutique,
TXN10412,C0333,2024-07-07,Bracelet,Classic,1,1820.08,0.0,1820.08,Boutique,
TXN10174,C0038,2025-12-22,Bracelet,Classic,1,1958.2,0.05,1860.29,Boutique,
TXN10376,C0271,2026-01-21,Necklace,High Jewelry,1,153.75,0.15,130.69,Boutique,
TXN10277,C0345,2025-07-01,Necklace,High Jewelry,1,287.11,0.3,200.98,Online,
TXN10756,C0092,2024-08-27,Earrings,Classic,1,305.33,0.05,290.06,Online,
TXN10765,C0291,2026-07-24,Watch,Signature,2,2274.29,0.0,4548.58,Flagship,
TXN10019,C0168,2024-11-22,Watch,Limited,1,938.67,0.15,797.87,Online,
TXN10498,C0078,2026-07-15,Bracelet,Limited,2,2726.33,0.1,4907.39,Boutique,
TXN10494,C0219,2024-09-20,Bracelet,Signature,1,1149.69,0.0,1149.69,Boutique,
TXN10526,C0303,2026-05-07,Earrings,Classic,2,458.84,0.2,734.14,Online,
TXN10226,C0109,2025-08-26,Necklace,Signature,3,497.69,0.2,1194.46,Online,
TXN10242,C0222,2025-05-08,Ring,Classic,2,200.49,0.0,400.98,Online,
TXN10810,C0048,2025-02-11,Earrings,Signature,2,1153.56,0.05,2191.76,Online,
TXN10344,C0086,2026-05-24,Ring,Classic,1,743.74,0.1,669.37,Boutique,
TXN10071,C0192,2025-09-24,Necklace,Signature,3,415.65,0.05,1184.6,Boutique,
TXN10312,C0193,2025-12-05,Ring,High Jewelry,1,1301.59,0.0,1301.59,Boutique,
TXN10701,C0287,2024-07-16,Necklace,Signature,1,3212.28,0.15,2730.44,Boutique,
TXN10575,C0093,2025-01-23,Bracelet,Signature,2,366.91,0.0,733.82,Online,
TXN10392,C0287,2025-05-14,Ring,Signature,2,310.81,0.15,528.38,Flagship,
TXN10395,C0180,2026-04-21,Watch,Signature,1,2587.06,0.1,2328.35,Boutique,
TXN10605,C0132,2024-08-29,Watch,Limited,1,403.27,0.0,403.27,Boutique,
TXN10644,C0169,2025-11-02,Necklace,High Jewelry,3,751.61,0.2,1803.86,Flagship,
TXN10197,C0020,2024-10-09,Ring,Bridal,3,305.02,0.2,732.05,Boutique,
TXN10571,C0342,2026-02-11,Necklace,Classic,1,785.08,0.0,785.08,Online,
TXN10119,C0150,2025-08-09,Bracelet,Signature,1,95.89,0.3,67.12,Online,
TXN10620,C0015,2025-10-18,Necklace,Classic,3,1014.81,0.0,3044.43,Boutique,
TXN10238,C0198,2026-03-30,Earrings,Classic,1,134.71,0.0,134.71,Boutique,
TXN10869,C0208,2025-09-23,Necklace,High Jewelry,2,97.81,0.2,156.5,Boutique,
TXN10627,C0008,2025-03-21,Watch,Limited,1,1670.43,0.2,1336.34,Boutique,
TXN10366,C0120,2025-07-25,Bracelet,Limited,2,4619.85,0.2,7391.76,Boutique,
TXN10299,C0004,2026-06-22,Watch,Signature,1,217.78,0.15,185.11,Online,
TXN10795,C0267,2025-10-25,Earrings,Signature,-1,5248.27,0.3,-3673.79,Online,R
TXN10348,C0140,2025-03-31,Watch,Limited,2,590.63,0.2,945.01,Online,
TXN10483,C0093,2026-06-01,Watch,Signature,2,1110.43,0.0,2220.86,Online,
TXN10700,C0143,2026-06-05,Necklace,High Jewelry,1,1443.7,0.15,1227.14,Online,
TXN10517,C0023,2025-10-22,Necklace,Signature,1,356.3,0.05,338.49,Online,
TXN10190,C0268,2025-07-02,Earrings,Classic,1,589.64,0.0,589.64,Boutique,
TXN10827,C0087,2024-04-28,Earrings,Classic,1,457.94,0.0,457.94,Boutique,
TXN10432,C0108,2025-09-18,Ring,Bridal,3,70.45,0.15,179.65,Flagship,
TXN10826,C0259,2024-05-10,Necklace,Signature,3,490.64,0.15,1251.13,Flagship,
TXN10425,C0068,2024-01-04,Ring,Classic,2,671.6,0.1,1208.88,Online,
TXN10622,C0067,2025-12-03,Watch,Signature,2,30.16,0.1,54.29,Online,
TXN10593,C0126,2024-08-28,Ring,Classic,3,978.29,0.0,2934.87,Online,
TXN10821,C0002,2026-06-10,Earrings,Signature,1,1923.5,0.0,1923.5,Online,
TXN10783,C0200,2025-03-30,Bracelet,Classic,1,4479.85,0.05,4255.86,Flagship,
TXN10832,C0046,2026-01-28,Bracelet,Signature,1,610.52,0.15,518.94,Boutique,
TXN10335,C0295,2026-04-13,Ring,Bridal,1,175.16,0.15,148.89,Boutique,
TXN10612,C0210,2026-06-02,Bracelet,Signature,1,686.31,0.2,549.05,Flagship,
TXN10733,C0151,2025-02-15,Earrings,Signature,3,140.08,0.15,357.2,Boutique,
TXN10271,C0021,2025-01-25,Bracelet,Signature,1,308.46,0.0,308.46,Flagship,
TXN10900,C0156,2024-10-30,Ring,Signature,1,1185.02,0.0,1185.02,Boutique,
TXN10209,C0288,2025-09-15,Watch,Limited,2,134.36,0.0,268.72,Boutique,
TXN10129,C0053,2024-11-16,Necklace,Classic,2,344.93,0.3,482.9,Online,
TXN10261,C0017,2026-04-13,Bracelet,Classic,3,390.32,0.2,936.77,Online,
TXN10017,C0066,2025-02-07,Necklace,Signature,1,585.24,0.0,585.24,Online,
TXN10645,C0067,2026-06-02,Ring,Bridal,1,346.09,0.15,294.18,Flagship,
TXN10656,C0175,2024-08-04,Ring,Classic,2,47.03,0.05,89.36,Online,
TXN10660,C0321,2024-07-14,Watch,Limited,1,156.27,0.0,156.27,Flagship,
TXN10506,C0008,2025-10-09,Ring,Classic,1,144.59,0.1,130.13,Online,
TXN10905,C0227,2024-11-28,Ring,Bridal,2,173.65,0.0,347.3,Boutique,
TXN10467,C0046,2024-01-09,Watch,Limited,1,757.29,0.3,530.1,Boutique,
TXN10641,C0299,2025-06-22,Necklace,High Jewelry,1,910.99,0.0,910.99,Online,
TXN10666,C0099,2024-12-18,Earrings,Signature,2,388.7,0.2,621.92,Boutique,
TXN10196,C0147,2026-06-20,Watch,Limited,2,298.83,0.2,478.13,Boutique,
TXN10632,C0242,2025-09-12,Bracelet,Limited,1,1028.97,0.0,1028.97,Boutique,
TXN10163,C0255,2025-01-26,Necklace,Signature,1,748.42,0.0,748.42,Boutique,
TXN10139,C0224,2024-02-29,Ring,Signature,1,76.01,0.05,72.21,Online,
